surfactant_name,smiles,pCMC,ionic_type,temperature,HLB,Source
Sodium dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.09,anionic,25,40,https://zenodo.org/records/15861809?utm.com
Sodium decyl sulfate,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.49,anionic,25,38,https://zenodo.org/records/15861809?utm.com
Sodium octyl sulfate,CCCCCCCCOS(=O)(=O)[O-].[Na+],0.82,anionic,25,36,https://zenodo.org/records/15861809?utm.com
Cetyltrimethylammonium bromide,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.05,cationic,25,10,https://zenodo.org/records/15861809?utm.com
Dodecyltrimethylammonium bromide,CCCCCCCCCCCC[N+](C)(C)C.[Br-],1.82,cationic,25,12,https://zenodo.org/records/15861809?utm.com
Tetradecyltrimethylammonium bromide,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.43,cationic,25,13,https://zenodo.org/records/15861809?utm.com
Benzalkonium chloride (C12),CCCCCCCCCCCC1=CC=CC=C1[N+](C)(C)C.[Cl-],2.92,cationic,25,15,https://zenodo.org/records/15861809?utm.com
Tween 20,CCCCCCCCCCCCCCCC(=O)OCC(CO)OCC(CO)OCC(CO)O,4.22,nonionic,25,16,https://zenodo.org/records/15861809?utm.com
Tween 80,CCCCCCCC=CCCCCCCCCCCC(=O)OCC(CO)OCC(CO)OCC(CO)O,4.92,nonionic,25,15,https://zenodo.org/records/15861809?utm.com
Span 20,CCCCCCCCCCCC(=O)OCC(CO)CO,3.6,nonionic,25,8,https://zenodo.org/records/15861809?utm.com
Span 80,CCCCCCCC=CCCCCCCCCCCC(=O)OCC(CO)CO,5,nonionic,25,4,https://zenodo.org/records/15861809?utm.com
Brij 35,CCCCCCCCCCCCOCCOCCOCCO,4.05,nonionic,25,16,https://zenodo.org/records/15861809?utm.com
Triton X-100,CCCCC1=CC=C(C=C1)C(C)(C)C(=O)OCCOCCOCCO,3.62,nonionic,25,13,https://zenodo.org/records/15861809?utm.com
